timestamp_ms,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
171175,17.40,-49.20,-7.50,-52.80,-69.15,4.11,-81.90,-74.55,99.22,-21.00,-103.50,30.49
172034,17.10,-48.75,-7.26,-53.10,-69.45,3.39,-82.95,-75.45,100.67,-21.15,-98.40,30.73
172888,16.95,-49.35,-7.26,-48.75,-67.05,1.45,-76.65,-85.35,101.16,-21.15,-98.55,33.15
173742,17.10,-49.65,-7.02,-48.45,-68.55,1.69,-77.40,-84.90,100.67,-21.75,-97.35,32.91
174601,16.35,-49.80,-6.05,-48.30,-68.85,0.97,-78.75,-83.25,100.67,-21.60,-97.95,32.19
175455,16.50,-51.00,-6.05,-49.20,-69.30,1.94,-78.45,-84.00,99.95,-22.05,-98.25,32.91
176309,17.25,-48.75,-4.84,-48.00,-69.30,2.42,-76.65,-82.80,99.95,-22.95,-99.30,32.19
177168,15.75,-51.75,-5.57,-48.45,-69.15,3.39,-78.45,-83.55,99.22,-22.95,-99.60,31.70
178022,16.65,-51.75,-7.74,-48.45,-69.15,2.42,-78.15,-83.10,99.95,-23.40,-99.90,32.67
178876,17.25,-50.40,-7.50,-49.20,-69.15,3.39,-75.45,-85.35,98.01,-22.80,-97.35,32.43
179735,16.80,-51.00,-6.29,-49.50,-70.35,3.39,-74.55,-88.35,100.19,-22.50,-95.85,34.61
180589,16.95,-49.20,-5.32,-49.05,-68.55,3.15,-72.45,-90.60,101.88,-22.20,-95.70,36.30
181443,16.05,-50.70,-7.99,-48.30,-68.55,2.90,-76.50,-76.05,100.43,-14.70,-102.45,37.03
182302,16.95,-51.30,-7.02,-51.45,-71.55,5.32,-84.60,-68.10,99.46,-8.85,-89.10,42.11
183156,23.40,-48.60,-3.63,-55.50,-73.50,7.02,-84.60,-61.95,98.74,-9.45,-96.15,40.66
184010,22.95,-50.85,-3.63,-54.90,-73.20,6.78,-85.80,-61.65,99.70,-11.70,-98.85,39.69
184869,22.65,-50.55,-4.11,-54.75,-72.75,7.26,-85.50,-60.30,99.70,-11.85,-100.05,39.69
185723,21.15,-50.40,-5.08,-54.90,-72.60,6.53,-84.30,-62.70,99.70,-12.75,-99.30,40.41
186577,20.55,-50.55,-2.66,-54.00,-71.25,6.05,-81.15,-63.60,99.22,-11.70,-94.35,41.14
187436,21.45,-49.35,-4.60,-54.60,-71.25,6.29,-81.30,-65.10,98.98,-13.20,-98.85,39.93
188290,18.30,-54.90,-7.02,-54.90,-70.95,6.05,-80.55,-63.60,98.49,-13.20,-100.05,39.69
189144,18.00,-54.00,-8.23,-54.15,-70.65,5.81,-81.90,-66.00,99.95,-12.60,-101.10,38.24
190003,19.65,-54.30,-6.78,-53.40,-70.95,6.05,-82.80,-65.40,99.46,-14.25,-98.10,40.66
190857,21.15,-51.15,-5.08,-53.85,-71.25,6.29,-83.70,-64.35,99.70,-13.95,-103.05,38.24
191711,20.40,-52.20,-6.29,-52.65,-70.35,4.11,-80.55,-74.85,98.49,-13.95,-113.55,40.17
192570,20.55,-49.50,-3.63,-52.65,-72.90,11.62,-74.55,-70.80,98.98,-10.65,-100.50,50.34
193424,27.00,-51.45,-0.73,-52.95,-74.25,15.00,-75.75,-69.60,99.95,-12.90,-103.35,48.40
194278,28.05,-49.80,0.97,-52.50,-74.55,15.73,-74.10,-72.60,100.19,-13.20,-105.00,45.98
195137,28.95,-49.65,0.73,-53.10,-71.40,11.37,-74.70,-71.25,99.70,-13.35,-105.15,47.67
195991,28.80,-49.95,1.21,-52.95,-72.45,13.79,-75.90,-68.70,99.46,-12.60,-104.25,48.16
196845,29.10,-45.45,4.36,-52.65,-75.00,15.73,-73.95,-72.30,99.46,-13.80,-106.20,45.98
197704,27.75,-48.00,2.90,-52.95,-74.70,14.52,-74.40,-70.20,100.19,-13.80,-105.75,46.71
198558,25.95,-49.80,2.18,-53.10,-73.50,13.79,-74.85,-70.50,98.98,-13.80,-106.05,45.98
199412,25.95,-50.55,2.66,-52.95,-73.50,13.31,-75.15,-70.65,99.95,-13.20,-105.45,46.95
200271,26.40,-50.25,3.15,-52.65,-73.20,13.79,-74.10,-70.80,100.19,-13.35,-106.20,46.95
201125,28.35,-49.50,2.90,-52.65,-73.35,13.31,-73.05,-71.25,98.74,-12.75,-109.05,39.93
201979,20.25,-51.45,-6.53,-52.80,-68.70,3.39,-78.00,-73.95,102.12,-18.60,-100.20,40.90
202838,22.35,-37.95,-3.63,-55.65,-73.80,0.73,-78.15,-73.35,101.40,-18.15,-100.65,40.41
203692,24.30,-40.35,-7.26,-52.80,-71.40,1.45,-79.95,-73.50,100.91,-9.75,-109.35,38.72
204546,24.75,-39.00,-8.23,-53.10,-72.00,1.69,-79.35,-73.20,101.88,-13.95,-90.60,39.20
205405,27.00,-37.65,-5.32,-55.50,-74.70,1.94,-72.30,-61.65,105.03,-14.55,-89.10,37.51
206259,34.50,-29.85,-3.39,-57.00,-74.40,0.73,-68.25,-64.65,104.79,-16.35,-93.00,37.75
207113,33.75,-32.25,-4.84,-56.70,-74.70,0.00,-68.10,-64.95,105.03,-16.65,-93.90,36.78
207972,32.10,-34.20,-3.39,-56.10,-74.85,1.69,-69.60,-63.45,105.27,-17.10,-93.15,37.03
